Club,GMS,MIN,PTS+,PTS-,2PM,2PA,2FG%,3PM,3PA,3FG%,FTM,FTA,FT%,OR,DR,REB,AST,TOV,BLK,PF,PF
LDLC ASVEL Villeurbanne,34,40:17:00,78.6,84.9,21.9,40.8,53.6,7.2,21.3,33.7,13.4,17.3,77.3,10.2,23.7,371.7,17.8,13.0,1.6,18.7,19.6
EA7 Emporio Armani Milan,34,40:17:00,78.2,78.1,18.1,32.8,55.1,10.0,27.4,36.7,11.9,15.4,77.6,8.8,23.3,323.3,16.3,12.4,2.1,19.7,19.6
FC Barcelona,39,40:07:00,81.1,78.8,21.9,40.2,54.6,8.4,23.4,36.0,12.0,16.5,72.6,11.5,24.3,474.3,19.3,12.8,2.3,20.2,19.4
Baskonia,39,40:07:00,84.6,86.4,19.3,34.6,55.7,10.9,29.3,37.1,13.4,17.6,76.2,10.5,24.5,432.5,18.9,12.5,2.2,18.2,19.3
Alba Berlin,34,40:00:00,76.2,86.6,18.9,37.1,50.9,8.9,25.3,35.1,11.9,15.0,79.2,10.8,21.6,389.6,16.4,15.1,2.1,18.4,18.5
Fenerbahce Beko Istanbul,41,40:43:00,84.1,80.9,18.5,33.3,55.6,11.5,29.2,39.2,12.7,16.0,79.3,10.2,23.0,443.0,18.0,12.1,2.2,21.7,20.1
Anadolu Efes Istanbul,35,40:42:00,85.5,85.1,21.3,38.5,55.5,9.9,26.9,37.0,13.0,16.0,81.2,10.3,22.2,383.2,17.6,10.3,3.1,18.5,19.1
Real Madrid,39,40:46:00,88.7,81.4,21.0,36.3,58.0,10.4,27.6,37.8,15.3,18.8,81.5,9.8,26.6,408.6,20.6,12.0,3.6,19.1,20.7
AS Monaco,39,40:23:00,81.8,79.5,21.8,41.1,53.0,7.8,22.4,35.0,14.8,19.7,74.8,11.0,22.8,452.8,16.1,10.0,1.8,19.7,22.0
FC Bayern Munich,34,40:44:00,78.6,82.1,19.1,35.7,53.4,9.9,27.6,35.8,10.8,13.6,79.8,10.7,24.7,388.7,16.0,13.0,2.6,20.8,18.9
Olympiacos Piraeus,41,40:29:00,78.8,75.0,18.8,34.1,55.3,9.4,25.1,37.6,12.8,17.5,73.0,9.7,23.5,421.5,19.0,12.1,2.6,19.0,20.3
Panathinaikos Athens,41,40:21:00,82.5,77.4,19.8,36.0,55.0,9.2,23.6,39.0,15.2,20.7,73.7,9.9,23.8,430.8,16.6,12.5,2.7,17.9,22.3
Partizan Mozzart Bet Belgrade,34,40:26:00,83.0,83.4,22.1,37.7,58.5,8.0,22.2,36.2,14.8,18.1,81.9,9.1,21.8,330.8,15.1,12.4,2.3,21.1,20.9
Crvena Zvezda Meridianbet Belgrade,34,40:00:00,81.3,82.8,20.0,36.4,54.9,9.2,27.1,34.1,13.6,17.6,77.0,11.9,22.9,425.9,18.5,12.1,2.5,21.6,20.1
Maccabi Playtika Tel Aviv,40,40:07:00,87.8,86.8,23.0,42.8,53.7,8.9,24.3,36.6,15.1,19.4,77.8,13.1,22.6,545.5,19.6,11.7,3.1,20.8,19.9
Valencia Basket,34,40:08:00,75.9,79.1,20.2,38.5,52.4,7.3,22.2,32.8,13.8,17.8,77.4,10.1,24.1,369.1,16.1,13.6,1.8,21.5,19.5
Virtus Segafredo Bologna,36,40:00:00,79.8,82.1,19.5,36.0,54.2,9.4,26.0,36.1,12.6,16.8,75.2,9.6,23.2,368.2,18.6,12.3,2.7,21.8,20.1
Zalgiris Kaunas,34,40:08:00,79.5,79.5,19.0,35.8,53.1,9.7,25.0,38.9,12.3,15.1,81.0,9.7,22.2,352.2,15.6,12.6,1.7,21.4,18.7
